#{"t_start": 1771238590.3450012, "env_id": null}
r,l,t
-6.2,25,8.019707
9.7,25,8.028539
-6.0,25,8.036628
14.6,25,8.044921
2.2,25,8.053548
1.9,25,8.061915
5.4,25,8.070238
1.0,25,8.078349
-5.8,25,8.08664
8.1,25,8.095506
-5.4,25,8.104324
6.3,25,8.115712
5.1,25,8.12484
-5.6,25,8.134755
-6.2,25,8.143102
4.1,25,8.151787
6.3,25,8.160584
4.1,25,8.169503
8.6,25,8.178215
0.0,25,8.187239
8.5,25,9.660619
6.8,25,9.671021
0.9,25,9.681342
8.5,25,9.690007
-6.2,25,9.698187
14.9,25,9.706697
0.0,25,9.715114
8.5,25,9.724361
-6.2,25,9.732543
-3.8,25,9.741895
9.8,25,9.75054
2.8,25,9.759054
-6.6,25,9.767392
4.0,25,9.775598
-6.0,25,9.783749
10.5,25,9.791904
6.9,25,9.800434
10.4,25,9.809044
-6.0,25,9.817309
0.9,25,9.825438
5.4,25,10.958151
9.5,25,10.971004
-3.4,25,10.980023
-6.4,25,10.988836
3.7,25,10.997683
-6.0,25,11.006487
-5.8,25,11.015221
7.2,25,11.024081
16.9,25,11.033177
15.8,25,11.04171
-6.0,25,11.050405
-5.4,25,11.059157
-5.6,25,11.067712
16.7,25,11.076111
-5.4,25,11.084373
10.5,25,11.092704
7.6,25,11.101114
1.0,25,11.109526
-6.0,25,11.118324
9.5,25,11.127223
-5.8,25,11.135612
-5.8,25,11.47826
-6.2,25,11.488016
9.6,25,11.496391
8.5,25,11.5052
9.4,25,11.513927
7.6,25,11.522828
15.0,25,11.531508
-3.8,25,11.540354
12.7,25,11.549186
6.3,25,11.559052
6.3,25,11.568481
-5.6,25,11.578088
14.0,25,11.587793
9.4,25,11.597129
9.7,25,11.606242
10.7,25,11.615498
-6.2,25,11.62474
10.4,25,11.634639
-3.2,25,11.643756
9.5,25,11.653275
-6.6,25,11.91882
-6.0,25,11.93071
10.0,25,11.940347
-5.8,25,11.950712
2.8,25,11.95907
-1.0,25,11.967384
-5.6,25,11.975408
12.3,25,11.984057
16.7,25,11.992485
13.4,25,12.001564
-5.8,25,12.009865
12.7,25,12.018358
-6.0,25,12.026604
12.6,25,12.035267
0.4,25,12.043661
-1.2,25,12.052288
-5.6,25,12.060648
2.2,25,12.06905
16.6,25,12.07769
4.4,25,12.086199
-6.2,25,12.09478
9.5,25,12.477395
11.8,25,12.487686
9.2,25,12.496688
8.6,25,12.507308
-5.4,25,12.517574
1.0,25,12.526974
-6.0,25,12.536138
-6.2,25,12.545114
-4.2,25,12.554083
13.6,25,12.56354
8.2,25,12.572603
14.9,25,12.581915
10.4,25,12.590778
12.6,25,12.599896
14.9,25,12.609134
10.4,25,12.625997
11.9,25,12.63464
10.8,25,12.643363
11.3,25,12.651913
8.2,25,12.66023
14.9,25,12.924338
10.0,25,12.935629
2.6,25,12.947472
16.7,25,12.956881
11.2,25,12.967056
15.8,25,12.975842
11.6,25,12.984433
4.2,25,12.993119
9.5,25,13.001543
13.2,25,13.010905
-2.8,25,13.019562
-6.0,25,13.028737
16.7,25,13.03784
4.4,25,13.046665
19.1,25,13.055662
11.4,25,13.064092
-6.2,25,13.072618
12.5,25,13.08111
-6.2,25,13.089408
-6.4,25,13.097438
7.1,25,13.1057
-6.2,25,13.399896
19.0,25,13.409928
14.9,25,13.418735
8.2,25,13.42711
14.5,25,13.435812
13.6,25,13.445077
13.6,25,13.455645
10.0,25,13.464935
8.6,25,13.47348
11.5,25,13.482118
7.2,25,13.490527
14.9,25,13.499971
-0.8,25,13.508135
-5.8,25,13.517033
6.4,25,13.525217
7.2,25,13.533683
14.9,25,13.542186
11.4,25,13.550389
-6.4,25,13.558544
15.4,25,13.566873
-6.4,25,13.934641
17.1,25,13.947494
11.0,25,13.958524
-3.0,25,13.968991
10.4,25,13.977539
17.2,25,13.986262
12.2,25,13.994962
11.3,25,14.003416
13.0,25,14.012108
15.7,25,14.020757
13.5,25,14.029738
15.8,25,14.038808
-6.4,25,14.047421
-6.0,25,14.055892
11.2,25,14.064461
14.8,25,14.073294
19.0,25,14.082206
13.0,25,14.090885
17.1,25,14.09963
-6.6,25,14.108126
14.5,25,14.116541
11.3,25,14.412433
17.1,25,14.422194
17.0,25,14.43109
10.0,25,14.44032
19.1,25,14.449458
13.9,25,14.461394
8.6,25,14.473888
15.4,25,14.483558
16.3,25,14.492467
19.1,25,14.501434
16.5,25,14.510647
8.6,25,14.51958
-6.2,25,14.528019
-6.0,25,14.536972
16.7,25,14.546147
12.2,25,14.555778
15.1,25,14.565127
14.8,25,14.574126
7.3,25,14.583337
14.8,25,14.591872
8.2,25,14.863358
15.5,25,14.874461
15.8,25,14.883859
15.6,25,14.892799
20.4,25,14.902046
-6.6,25,14.910709
17.0,25,14.919429
14.8,25,14.928152
-6.2,25,14.936463
11.3,25,14.945044
-6.2,25,14.953263
14.8,25,14.963711
14.2,25,14.973685
20.0,25,14.982322
-6.2,25,14.990536
-6.6,25,14.998909
5.9,25,15.008289
14.5,25,15.018402
17.0,25,15.029233
10.4,25,15.048278
17.9,25,15.060259
17.7,25,15.51375
13.2,25,15.52519
18.0,25,15.534914
14.0,25,15.545428
11.3,25,15.555089
6.0,25,15.564117
12.7,25,15.57325
9.1,25,15.582155
6.1,25,15.590987
-6.2,25,15.599315
12.5,25,15.608175
21.9,25,15.616604
10.1,25,15.625348
21.8,25,15.633908
-6.6,25,15.642417
11.3,25,15.651245
20.2,25,15.659776
20.2,25,15.668445
10.4,25,15.67694
12.2,25,15.685529
14.5,25,15.992504
7.2,25,16.006213
11.4,25,16.016349
5.9,25,16.02673
16.6,25,16.036223
18.8,25,16.04759
12.5,25,16.057632
15.3,25,16.066854
18.1,25,16.076066
-6.6,25,16.084992
10.7,25,16.094206
18.2,25,16.103438
12.5,25,16.112691
12.8,25,16.121511
11.4,25,16.130609
15.9,25,16.139293
18.0,25,16.150177
17.9,25,16.16111
-6.6,25,16.170325
13.5,25,16.181907
20.9,25,16.191749
24.4,25,16.46408
11.3,25,16.475043
21.0,25,16.484823
16.8,25,16.496706
20.8,25,16.506324
15.3,25,16.516127
21.2,25,16.525584
17.8,25,16.534588
2.0,25,16.544056
19.0,25,16.553678
24.5,25,16.563381
22.1,25,16.572563
17.4,25,16.582451
20.3,25,16.591685
15.8,25,16.600938
21.2,25,16.610142
21.2,25,16.619885
6.4,25,16.628989
-6.4,25,16.638159
4.4,25,16.647627
20.8,25,16.946686
13.6,25,16.958148
15.5,25,16.966954
16.4,25,16.978575
-6.6,25,16.9876
22.1,25,16.996638
-6.6,25,17.007062
13.5,25,17.015998
19.7,25,17.025758
16.5,25,17.03472
22.1,25,17.045312
20.3,25,17.056921
15.7,25,17.066307
21.9,25,17.075697
15.8,25,17.084316
22.2,25,17.092898
22.2,25,17.103141
18.9,25,17.112377
20.9,25,17.12306
18.0,25,17.13726
18.0,25,17.150621
12.3,25,17.430435
18.3,25,17.441954
9.0,25,17.452103
14.8,25,17.462348
21.9,25,17.471787
14.8,25,17.48293
19.1,25,17.492208
18.9,25,17.501449
15.5,25,17.510716
19.9,25,17.519853
13.5,25,17.528409
18.4,25,17.537146
21.4,25,17.545936
-6.6,25,17.554038
15.7,25,17.5626
20.2,25,17.571154
18.7,25,17.579633
16.8,25,17.588128
21.0,25,17.596444
22.0,25,17.60499
12.4,25,17.895628
26.3,25,17.906763
20.0,25,17.915403
24.1,25,17.924702
