#{"t_start": 1771238678.271325, "env_id": null}
r,l,t
6.9,25,1.287591
-6.4,25,1.295734
12.6,25,1.304241
11.6,25,1.312946
9.0,25,1.323164
-6.0,25,1.33236
4.1,25,1.343035
-6.0,25,1.352055
4.4,25,1.360438
4.1,25,1.369387
7.3,25,1.378311
0.0,25,1.387013
5.3,25,1.395934
5.4,25,1.405362
-5.8,25,1.413948
1.9,25,1.4225
6.0,25,1.432142
4.1,25,1.440988
10.4,25,1.450435
-4.0,25,1.458806
1.8,25,1.72887
1.0,25,1.73978
9.5,25,1.749309
4.0,25,1.76004
-2.6,25,1.770673
7.3,25,1.779737
-6.4,25,1.788588
6.0,25,1.797339
0.9,25,1.806185
-6.0,25,1.814345
-5.8,25,1.822827
-6.4,25,1.830989
9.5,25,1.83947
-1.8,25,1.847697
6.8,25,1.85603
-3.6,25,1.864183
9.0,25,1.872844
13.6,25,1.881976
13.9,25,1.891474
4.1,25,1.900666
-6.4,25,2.184371
-3.0,25,2.196425
-4.0,25,2.205093
7.7,25,2.213935
3.1,25,2.222707
-5.6,25,2.231322
12.2,25,2.241241
-1.8,25,2.252364
10.3,25,2.265379
8.5,25,2.275434
10.7,25,2.284342
9.2,25,2.293295
6.6,25,2.303343
-1.4,25,2.316381
-6.4,25,2.329849
11.4,25,2.339473
7.6,25,2.348606
10.8,25,2.358051
19.4,25,2.367363
10.2,25,2.376542
12.7,25,2.385079
8.2,25,2.677114
15.4,25,2.689396
9.1,25,2.699485
-5.8,25,2.710197
10.8,25,2.720371
9.0,25,2.730937
-6.2,25,2.744289
13.1,25,2.75376
14.2,25,2.763993
10.4,25,2.773901
-6.4,25,2.782624
12.7,25,2.791796
-1.4,25,2.800717
9.5,25,2.809752
-6.4,25,2.818543
11.4,25,2.827534
7.3,25,2.836578
5.0,25,2.845273
7.6,25,2.854184
14.6,25,2.862869
12.7,25,3.146293
5.9,25,3.15752
6.6,25,3.166432
10.5,25,3.175396
12.7,25,3.185199
12.7,25,3.194255
14.2,25,3.203442
8.5,25,3.212512
4.4,25,3.221169
-1.2,25,3.229761
9.8,25,3.238524
-6.2,25,3.248211
12.3,25,3.258395
9.5,25,3.267469
9.8,25,3.276316
13.1,25,3.285594
-6.0,25,3.294708
-6.4,25,3.304898
-5.4,25,3.317921
-6.4,25,3.329545
-0.8,25,3.338279
11.4,25,3.621949
8.2,25,3.632062
5.0,25,3.641385
-4.2,25,3.650363
12.7,25,3.659803
12.3,25,3.669547
12.7,25,3.678824
9.4,25,3.688535
10.3,25,3.696853
10.7,25,3.70552
16.1,25,3.715827
-6.2,25,3.725034
9.1,25,3.733825
9.5,25,3.742537
11.3,25,3.751838
10.9,25,3.760359
10.4,25,3.768949
-6.0,25,3.77711
13.9,25,3.785738
14.5,25,3.794096
13.7,25,4.089882
-1.2,25,4.102781
12.3,25,4.11343
18.4,25,4.12709
13.8,25,4.135892
3.8,25,4.144914
7.6,25,4.154796
11.6,25,4.164894
-4.2,25,4.173725
7.2,25,4.182539
11.3,25,4.191598
13.6,25,4.199966
12.6,25,4.208567
-3.0,25,4.217927
8.5,25,4.227907
-4.0,25,4.237059
-4.2,25,4.246682
14.9,25,4.256435
10.7,25,4.266204
10.1,25,4.275074
11.6,25,4.284639
10.7,25,4.664858
14.5,25,4.67597
12.6,25,4.685225
13.9,25,4.694457
9.1,25,4.705141
12.6,25,4.714948
6.9,25,4.72437
5.9,25,4.733662
20.3,25,4.743944
16.2,25,4.753347
2.2,25,4.7642
14.9,25,4.773504
7.7,25,4.782522
7.8,25,4.791972
7.1,25,4.800657
17.7,25,4.809626
-1.0,25,4.817926
-2.2,25,4.827002
13.0,25,4.83589
-6.6,25,4.844181
10.1,25,5.152417
8.2,25,5.164076
12.6,25,5.172665
14.8,25,5.181178
21.1,25,5.189784
15.7,25,5.198557
4.2,25,5.210704
9.1,25,5.220839
-6.6,25,5.229594
9.5,25,5.239296
13.5,25,5.248728
18.1,25,5.258414
-6.6,25,5.267801
12.6,25,5.27748
-6.4,25,5.28682
13.6,25,5.29595
-6.4,25,5.306186
12.0,25,5.317873
11.6,25,5.329409
14.1,25,5.340691
13.6,25,5.350303
14.9,25,5.687006
18.9,25,5.6979
17.1,25,5.706628
16.8,25,5.716048
10.0,25,5.725286
9.5,25,5.734238
13.8,25,5.743347
12.4,25,5.75253
12.4,25,5.763238
13.1,25,5.775208
13.9,25,5.785683
14.5,25,5.795908
18.9,25,5.805227
17.7,25,5.814327
12.0,25,5.825641
15.4,25,5.838512
15.1,25,5.849547
-6.2,25,5.861604
17.1,25,5.873964
9.7,25,5.882393
-1.0,25,6.268359
18.0,25,6.280839
18.9,25,6.291301
15.3,25,6.301296
-6.4,25,6.311084
18.0,25,6.322927
-6.2,25,6.333924
20.1,25,6.345093
14.9,25,6.354598
17.6,25,6.364781
-6.2,25,6.375183
-6.4,25,6.385458
17.9,25,6.395303
21.0,25,6.405091
-6.6,25,6.413764
13.5,25,6.422991
15.2,25,6.4319
19.6,25,6.442319
16.6,25,6.451618
11.7,25,6.460409
14.6,25,6.469501
18.6,25,6.911355
10.3,25,6.921999
12.3,25,6.931281
14.6,25,6.94061
-6.6,25,6.949883
-6.6,25,6.959297
17.1,25,6.9691
14.6,25,6.977982
-1.0,25,6.987377
17.1,25,6.996647
19.2,25,7.005787
19.7,25,7.014816
14.9,25,7.024231
13.6,25,7.033142
14.6,25,7.042861
12.6,25,7.053226
-6.6,25,7.063656
22.2,25,7.072784
16.8,25,7.081257
18.1,25,7.090209
-3.2,25,7.494267
18.6,25,7.506088
-4.4,25,7.515369
16.8,25,7.524124
18.7,25,7.532963
16.8,25,7.542164
19.9,25,7.551527
20.3,25,7.560954
10.3,25,7.569907
15.4,25,7.579399
